Stock,EventD,EventT,OptionEX,C/P,Strike,Size,OPrice,Direction,Condition,Seq,LegSeq,MillionD,StockV,MarketCapB,ER_Date,ER_A/B,Height,MaxMillionD,MaxStrike,MinHeight,MaxHeight,MaxSize,Index,OIa,OIChange
AABA,180719,112626,180817,C,100.0,1000,0.010,Sell100% ,BuyWrite            ,72339946,72339946,0.00,73.36,59.4,20180815,amc,136.0,2.65,100.0,136.0,136.0,1000,AABA_180719_112626_A,158421,7931.0
AABA,180719,112626,180817,P,100.0,1000,26.500,Sell45%  ,BuyWrite            ,72339946,72339946,2.65,73.36,59.4,20180815,amc,136.0,2.65,100.0,136.0,136.0,1000,AABA_180719_112626_B,158578,7996.0
AABA,180719,131743,180817,P,100.0,2000,26.760,Buy6%    ,BuyWrite            ,117637157,117637157,5.35,73.36,59.4,20180815,amc,136.0,5.35,100.0,136.0,136.0,2000,AABA_180719_131743_A,158578,7996.0
AABA,180719,131743,180817,C,100.0,2000,0.030,Un0%     ,BuyWrite            ,117637157,117637157,0.01,73.36,59.4,20180815,amc,136.0,5.35,100.0,136.0,136.0,2000,AABA_180719_131743_B,158421,7931.0
AAL,180719,105419,180817,C,38.0,1000,1.540,Sell100% ,Spread              ,57769274,57769275,0.15,38.13,18.0,20180726,bmo,100.0,0.15,42.0,100.0,110.0,1000,AAL_180719_105419_B,2872,1430.0
AAL,180719,105419,180817,C,42.0,1000,0.390,Sell100% ,Spread              ,57769275,57769274,0.04,38.13,18.0,20180726,bmo,110.0,0.15,42.0,100.0,110.0,1000,AAL_180719_105419_A,4716,1001.0
AAP,180719,122726,180817,C,160.0,124,0.850,Sell33%  ,Spread              ,97454371,97454371,0.01,143.37,10.6,20180813,bmo,112.0,0.1,160.0,112.0,112.0,1126,AAP_180719_122726_A,4,0.0
AAP,180719,122726,180817,C,160.0,1126,0.850,Sell33%  ,Spread              ,97454371,97454371,0.10,143.37,10.6,20180813,bmo,112.0,0.1,160.0,112.0,112.0,1126,AAP_180719_122726_B,4,0.0
AAP,180719,122726,180817,C,160.0,124,0.850,Sell33%  ,Spread              ,97454371,97454371,0.01,143.37,10.6,20180813,bmo,112.0,0.1,160.0,112.0,112.0,1126,AAP_180719_122726_C,4,0.0
AAP,180719,122726,180817,C,160.0,1126,0.850,Sell33%  ,Spread              ,97454371,97454371,0.10,143.37,10.6,20180813,bmo,112.0,0.1,160.0,112.0,112.0,1126,AAP_180719_122726_D,4,0.0
