Symbol,StartDt,Duration,TotalUpRate,MeanUpRate,UpDuration,MeanDownRate,DownDuration,Up/Down_Rate,BullIndex
GGG,20170106,143,0.36349454,0.008975528,84,-0.007293589,59,1.423728814,51
TCX,20170120,134,0.469050894,0.018622124,70,-0.013645174,64,1.09375,51
SNPS,20170104,145,0.281576288,0.006069452,94,-0.00618739,51,1.843137255,51
CBD,20170310,100,0.402712264,0.018832253,56,-0.015322716,44,1.272727273,51
LILAK,20170621,30,0.300858152,0.015435624,21,-0.005868127,9,2.333333333,51
REXR,20170315,97,0.302228412,0.00883422,61,-0.007491966,36,1.694444444,51
HGV,20170118,136,0.474189676,0.014728704,71,-0.009858864,65,1.092307692,51
COR,20170104,145,0.352933879,0.0093247,86,-0.008301593,59,1.457627119,51
CVGW,20170307,103,0.446289062,0.014935425,55,-0.009089674,48,1.145833333,51
ERI,20170131,127,0.347682119,0.014863109,76,-0.015790735,51,1.490196078,51
TAO,20170104,145,0.371232394,0.008067483,84,-0.005832708,61,1.37704918,51
CYTK,20170131,127,0.343283582,0.021636573,76,-0.025185851,51,1.490196078,51
BOBE,20170118,136,0.395115842,0.014520416,77,-0.012639589,59,1.305084746,51
SWKS,20170106,143,0.36502615,0.011923448,83,-0.010936789,60,1.383333333,50
MYCC,20170707,20,0.338582677,0.02318366,15,-0.003520817,5,3,50
DECK,20170208,121,0.43187375,0.01575318,65,-0.011267409,56,1.160714286,50
IDXX,20170105,144,0.328934886,0.009523371,87,-0.009196464,57,1.526315789,50
ASPS,20170509,59,0.327566964,0.023598465,36,-0.023113103,23,1.565217391,50
ARCB,20170518,52,0.450581395,0.02807778,28,-0.015604734,24,1.166666667,50
AFSI,20170518,52,0.325814536,0.021132922,32,-0.01852744,20,1.6,50
WYNN,20170104,145,0.444050749,0.015080683,77,-0.011300152,68,1.132352941,50
RILY,20170518,52,0.357664234,0.020817074,31,-0.015426514,21,1.476190476,50
EVBG,20170309,101,0.373020528,0.018243561,58,-0.01660211,43,1.348837209,50
TEX,20170328,88,0.318904295,0.016063775,54,-0.016782411,34,1.588235294,50
BOTZ,20170104,145,0.325827815,0.005777601,88,-0.003915752,57,1.543859649,50
RAVN,20170118,136,0.435789474,0.017211667,73,-0.013698063,63,1.158730159,50
BSAC,20170202,125,0.368445693,0.009570693,72,-0.006923499,53,1.358490566,50
CVCO,20170120,134,0.447689857,0.014580554,71,-0.010168314,63,1.126984127,50
SNE,20170104,145,0.420996819,0.010404716,79,-0.006964362,66,1.196969697,50
CEVA,20170109,142,0.391035549,0.016193481,80,-0.015044668,62,1.290322581,50
PRAH,20170125,131,0.360764144,0.011169638,76,-0.009596561,55,1.381818182,49
MKSI,20170104,145,0.284043442,0.011973183,92,-0.015588843,53,1.735849057,49
MGPI,20170131,127,0.392072588,0.015540221,71,-0.013284238,56,1.267857143,49
HAIN,20170626,27,0.373101266,0.022164483,18,-0.0080341,9,2,49
CHIQ,20170104,144,0.34185022,0.007460979,85,-0.005681889,59,1.440677966,49
SRPT,20170214,117,0.368991688,0.023479664,67,-0.023920748,50,1.34,49
WBMD,20170130,128,0.374870413,0.009795858,73,-0.006736437,55,1.327272727,49
FEYE,20170315,97,0.396153846,0.017960707,54,-0.014125852,43,1.255813953,49
INDA,20170104,148,0.284069811,0.006433003,93,-0.00624184,55,1.690909091,48
INOV,20170104,145,0.29468599,0.014071249,90,-0.01773612,55,1.636363636,48
FTAI,20170105,144,0.328655835,0.009132967,86,-0.008445471,58,1.482758621,48
NFQ,20170420,72,0.278220641,0.012633522,46,-0.012322058,26,1.769230769,48
INCR,20170504,62,0.356968215,0.016957149,36,-0.010773605,26,1.384615385,48
DBVT,20170420,72,0.408950617,0.018642985,39,-0.011239733,33,1.181818182,48
FMX,20170110,141,0.342229411,0.010275839,83,-0.009431009,58,1.431034483,48
AAWW,20170519,51,0.416621401,0.020149885,28,-0.008816172,23,1.217391304,48
GTN,20170118,136,0.353233831,0.016970462,79,-0.017618657,57,1.385964912,48
NNBR,20170118,136,0.474719101,0.019136919,69,-0.013344459,67,1.029850746,48
PICK,20170621,30,0.200478278,0.009641356,23,-0.005273545,7,3.285714286,48
EWN,20170104,145,0.27897351,0.005338752,92,-0.004555338,53,1.735849057,48
MTN,20170104,145,0.321406386,0.008511862,87,-0.007816631,58,1.5,48
CHTR,20170104,145,0.344787766,0.010091748,84,-0.00879525,61,1.37704918,47
IONS,20170406,81,0.345819045,0.022275214,47,-0.021079568,34,1.382352941,47
BRKS,20170104,145,0.362110312,0.017307793,82,-0.016900706,63,1.301587302,47
BMI,20170310,100,0.293352601,0.010552559,62,-0.0101228,38,1.631578947,47
DCT,20170131,127,0.277501132,0.007310048,80,-0.00711938,47,1.70212766,47
RICK,20170120,134,0.374538745,0.01551378,75,-0.013846031,59,1.271186441,47
NAV,20170417,75,0.333770205,0.022049026,44,-0.020995571,31,1.419354839,47
NLY,20170104,145,0.205357143,0.005612903,101,-0.00849642,44,2.295454545,47
PHG,20170209,120,0.314443677,0.008753079,72,-0.007243552,48,1.5,47
BOX,20170104,145,0.326256192,0.013562393,86,-0.014474472,59,1.457627119,47
UHT,20170323,91,0.27112148,0.009634994,58,-0.00944851,33,1.757575758,47
GXC,20170104,145,0.332369544,0.006990461,85,-0.005044569,60,1.416666667,47
INP,20170104,145,0.3238111,0.007005954,86,-0.00537423,59,1.457627119,47
BTU,20170626,27,0.248587571,0.017626406,20,-0.017610271,7,2.857142857,47
CSX,20170104,145,0.373188406,0.013861867,81,-0.011965549,64,1.265625,47
EWH,20170104,145,0.243434343,0.00482004,95,-0.004742777,50,1.9,46
CCE,20170104,145,0.38571884,0.008993501,79,-0.005712447,66,1.196969697,46
PFGC,20170207,122,0.273972603,0.009508959,77,-0.010619548,45,1.711111111,46
MASI,20170104,145,0.285756677,0.010995151,90,-0.012884665,55,1.636363636,46
ALB,20170104,145,0.34923339,0.010582263,83,-0.009087491,62,1.338709677,46
WOOF,20170104,145,0.318104184,0.004159434,86,-0.000807564,59,1.457627119,46
PODD,20170106,143,0.354515955,0.01508527,81,-0.014330685,62,1.306451613,46
CPSI,20170207,122,0.396313364,0.015285323,66,-0.011471594,56,1.178571429,46
AAXJ,20170104,145,0.277447269,0.005314248,91,-0.004365413,54,1.685185185,46
KOF,20170120,134,0.374394926,0.01219597,74,-0.0095204,60,1.233333333,46
AMAT,20170104,145,0.337300345,0.011155829,84,-0.01034143,61,1.37704918,46
EWI,20170227,109,0.303448276,0.008796149,66,-0.007172014,43,1.534883721,46
INFO,20170104,145,0.298997773,0.006700585,88,-0.005657329,57,1.543859649,46
SHEN,20170308,102,0.350096712,0.016998288,58,-0.015067839,44,1.318181818,46
CBOE,20170104,145,0.30105465,0.007147301,87,-0.006077551,58,1.5,45
BIDU,20170327,89,0.351420421,0.012885282,50,-0.008487464,39,1.282051282,45
AKAO,20170104,145,0.403076923,0.031909176,77,-0.029359144,68,1.132352941,45
USCR,20170224,110,0.324508967,0.014666264,64,-0.013714918,46,1.391304348,45
HASI,20170207,122,0.303532009,0.010078219,73,-0.009421255,49,1.489795918,45
AAPL,20170105,144,0.340889502,0.00808669,82,-0.005819746,62,1.322580645,45
CDW,20170131,127,0.260775862,0.007731982,81,-0.008384565,46,1.760869565,45
HSBC,20170420,72,0.260005034,0.007970512,46,-0.005062957,26,1.769230769,45
NFLX,20170104,145,0.405835752,0.013228655,77,-0.009611998,68,1.132352941,45
PVH,20170208,121,0.418694431,0.012788982,63,-0.007628276,58,1.086206897,45
CRY,20170420,72,0.273972603,0.013713776,45,-0.013330338,27,1.666666667,45
ICLR,20170104,145,0.421898006,0.012724925,75,-0.008376878,70,1.071428571,45
ROL,20170113,138,0.336979641,0.008879842,79,-0.006832221,59,1.338983051,45
VRSN,20170104,145,0.294140473,0.006782978,88,-0.005858423,57,1.543859649,45
ARCH,20170621,30,0.224064347,0.014873434,22,-0.014945753,8,2.75,45
BWXT,20170104,145,0.350841407,0.008621599,82,-0.006291419,63,1.301587302,45
CRL,20170104,145,0.300143734,0.008016491,87,-0.007335149,58,1.5,45
SSNC,20170104,145,0.329289428,0.00918281,83,-0.007528721,62,1.338709677,44
KT,20170111,140,0.299855491,0.009656523,84,-0.009588152,56,1.5,44
VWR,20170124,132,0.32983871,0.007838765,76,-0.005206854,56,1.357142857,44
MTOR,20170104,145,0.407638348,0.016335259,76,-0.012639595,69,1.101449275,44
GLPI,20170313,99,0.263957714,0.006635021,62,-0.004707965,37,1.675675676,44
VSM,20170120,134,0.337565347,0.012665164,76,-0.011302442,58,1.310344828,44
SKM,20170104,145,0.342054264,0.010468243,82,-0.008752057,63,1.301587302,44
RTRX,20170601,44,0.276971609,0.016297869,28,-0.012719533,16,1.75,44
HFC,20170601,44,0.278661088,0.01809426,28,-0.01566183,16,1.75,44
COHU,20170209,120,0.35316847,0.018990526,67,-0.017381525,53,1.264150943,44
XPO,20170124,132,0.361039569,0.016507318,73,-0.01472378,59,1.237288136,44
PIN,20170104,145,0.27837699,0.006099114,89,-0.005236872,56,1.589285714,44
WWW,20170207,122,0.317316841,0.012819837,71,-0.012099058,51,1.392156863,44
VSAR,20170131,127,0.361538462,0.026511475,70,-0.025812219,57,1.228070175,44
CI,20170104,145,0.297155909,0.007561983,87,-0.006747713,58,1.5,44
LIVN,20170104,145,0.3309797,0.009998074,83,-0.008596359,62,1.338709677,44
KRA,20170131,127,0.372215931,0.015162017,69,-0.012234924,58,1.189655172,44
CERN,20170109,142,0.337118822,0.009722432,81,-0.007951326,61,1.327868852,44
LOB,20170104,145,0.338842975,0.014817183,82,-0.014260567,63,1.301587302,44
ALL,20170110,141,0.285127924,0.005779314,86,-0.004404116,55,1.563636364,44
CUK,20170104,145,0.325717633,0.007355051,84,-0.005422484,61,1.37704918,44
YNDX,20170104,145,0.427312775,0.019173009,73,-0.013861844,72,1.013888889,43
BIVV,20170210,119,0.443632075,0.019598594,59,-0.012719396,60,0.983333333,43
GLOB,20170112,139,0.404069767,0.016409828,72,-0.012174133,67,1.074626866,43
LORL,20170417,75,0.259158752,0.010439485,47,-0.009060521,28,1.678571429,43
PRTK,20170131,127,0.343859649,0.023617281,71,-0.023267511,56,1.267857143,43
DAR,20170131,127,0.402575107,0.013746577,66,-0.008999628,61,1.081967213,43
FCA,20170110,95,0.327506427,0.01172779,54,-0.008343639,41,1.317073171,43
RLGY,20170124,132,0.339236521,0.012180647,74,-0.010246782,58,1.275862069,43
WCG,20170105,144,0.335870599,0.009665308,81,-0.007670386,63,1.285714286,43
SBAC,20170111,140,0.348538012,0.00862169,78,-0.005924098,62,1.258064516,43
BIO,20170104,145,0.324585862,0.008436483,83,-0.00663818,62,1.338709677,43
MGI,20170124,132,0.349016253,0.010492627,73,-0.00725781,59,1.237288136,43
AMWD,20170120,134,0.353571429,0.012745986,74,-0.010417685,60,1.233333333,43
ARTNA,20170113,138,0.350984386,0.015112138,76,-0.01329639,62,1.225806452,43
HLF,20170104,145,0.330554991,0.012328878,82,-0.01114146,63,1.301587302,43
PIZ,20170104,145,0.229263747,0.004579328,95,-0.004521237,50,1.9,43
OI,20170104,145,0.36545961,0.011348898,79,-0.008670457,66,1.196969697,43
DLPH,20170104,145,0.374888955,0.01215141,78,-0.00911861,67,1.164179104,43
GRC,20170601,44,0.222683839,0.012309806,30,-0.011313507,14,2.142857143,43
TVPT,20170406,81,0.256993007,0.010262539,51,-0.009594584,30,1.7,43
IBP,20170202,125,0.331677019,0.013006369,71,-0.011389679,54,1.314814815,43
AMID,20170622,29,0.276785714,0.021570892,20,-0.01975712,9,2.222222222,43
WIFI,20170301,107,0.384051329,0.016894551,57,-0.012252376,50,1.14,43
NVO,20170309,101,0.28835658,0.011032494,61,-0.010237725,40,1.525,43
MCHP,20170106,143,0.289023806,0.010236764,86,-0.010750254,57,1.50877193,43
SSYS,20170106,143,0.308753166,0.017257003,84,-0.019135402,59,1.423728814,43
AZUL,20170524,49,0.316748768,0.017979563,29,-0.011770681,20,1.45,43
INDY,20170104,145,0.307439825,0.006663244,85,-0.004900147,60,1.416666667,43
KALU,20170310,100,0.29283614,0.01147774,60,-0.010501752,40,1.5,43
CCL,20170104,145,0.293057154,0.007199258,87,-0.006270681,58,1.5,43
WAT,20170105,144,0.314930991,0.008315729,83,-0.006669969,61,1.360655738,42
HRC,20170106,143,0.326109937,0.009472312,81,-0.007663766,62,1.306451613,42
CWST,20170217,114,0.398214286,0.015858332,59,-0.010534462,55,1.072727273,42
