Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
GOOGL,180719,190118,C,1100.0,152.388,41,1197,32,0.488,14.63,80.49,20180723,amc,,1199.1,109.0,1.997,2---2,Down
GOOGL,180719,190118,C,1200.0,89.68,120,2364,56,0.502,34.17,65.83,20180723,amc,,1199.1,100.0,1.997,2---2,Down
GOOGL,180719,180817,C,1310.0,5.57,1617,102,1519,0.846,3.09,68.34,20180723,amc,,1199.1,92.0,1.997,2---2,Down
GOOGL,180719,180727,C,1100.0,105.364,276,90,126,1.328,37.32,60.14,20180723,amc,,1199.1,109.0,1.997,2---2,Down
GOOGL,180719,200117,P,1150.0,98.387,205,63,203,1.997,10.73,89.27,20180723,amc,,1199.1,104.0,1.997,2---2,Up
GS,180719,180921,C,210.0,21.667,265,160,201,0.436,27.92,58.87,20181016,bmo,20180829.0,229.63,109.0,2.854,1---1,Down
GS,180719,180817,C,230.0,4.972,7051,7407,4161,2.069,75.95,23.73,20181016,bmo,20180829.0,229.63,100.0,2.854,1---1,Up
GS,180719,180817,P,230.0,4.371,6773,4784,6530,2.854,83.55,16.24,20181016,bmo,20180829.0,229.63,100.0,2.854,1---1,Down
GWW,180719,180720,C,332.5,12.725,434,871,-426,-0.542,83.64,15.90,20181016,bmo,,341.45,103.0,0.644,1---2,Up
GWW,180719,180817,C,370.0,1.814,3562,32,3548,0.644,98.76,0.93,20181016,bmo,,341.45,92.0,0.644,1---2,Up
HBI,180719,180817,C,23.0,0.63,6733,1323,6118,0.385,6.85,3.74,20180801,bmo,,22.2,97.0,0.385,1---1,Up
HCLP,180719,180720,P,12.5,1.28,177,5673,-2881,-0.369,23.16,73.45,20180731,amc,,11.4,91.0,0.369,1---1,Up
HD,180719,180720,C,200.0,2.336,7892,14149,1290,0.301,32.68,65.59,20180814,bmo,,202.63,101.0,0.301,1---1,Down
HEAR,180719,180817,P,25.0,2.825,1340,76,1327,0.375,97.16,1.19,20180806,amc,,26.1,104.0,0.375,1---1,Down
HIIQ,180719,180817,P,30.0,1.3,2511,385,2501,0.325,99.60,0.40,20180731,amc,,32.35,108.0,0.343,1---1,Down
HIIQ,180719,180817,C,35.0,1.672,2245,460,2049,0.343,0.40,98.35,20180731,amc,,32.35,92.0,0.343,1---1,Down
HSY,180719,180727,C,95.0,0.871,3676,61,3501,0.305,1.09,98.59,20180726,bmo,,92.23,97.0,0.671,1---1,Down
HSY,180719,180727,C,92.5,1.864,4101,10,3600,0.671,93.32,5.32,20180726,bmo,,92.23,100.0,0.671,1---1,Up
HUYA,180719,190118,P,40.0,13.418,4223,5487,-2429,-3.259,23.42,64.41,,,,35.49,89.0,3.259,1---2,Up
HUYA,180719,190118,P,35.0,9.236,4351,5014,-1982,-1.831,24.89,63.73,,,,35.49,101.0,3.259,1---2,Up
HUYA,180719,190118,C,25.0,12.562,444,1223,-782,-0.982,78.60,10.14,,,,35.49,142.0,3.259,1---2,Up
HUYA,180719,190118,C,35.0,6.156,2853,7866,-1512,-0.931,43.43,45.99,,,,35.49,101.0,3.259,1---2,Down
HUYA,180719,190118,C,40.0,4.081,2087,7200,-1590,-0.649,33.54,59.85,,,,35.49,89.0,3.259,1---2,Down
HUYA,180719,190118,P,70.0,39.727,132,516,118,0.469,9.09,83.33,,,,35.49,51.0,3.259,1---2,Up
IBB,180719,180727,P,118.0,1.1,3372,36,3286,0.362,89.56,9.61,,,,118.35,100.0,0.362,1---2,Down
IBM,180719,180720,C,145.0,4.248,4544,24290,-1725,-0.733,52.07,44.74,20181015,amc,,149.24,103.0,0.788,2---2,Up
IBM,180719,200117,C,130.0,23.974,151,722,-139,-0.333,99.34,0.00,20181015,amc,,149.24,115.0,0.788,2---2,Up
