Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
AMZN,180718,180720,C,1720.0,123.192,50,906,-27,-0.333,32.00,66.00,20180726,amc,,1842.92,107.0,25.37,1---1,Down
AMZN,180718,180817,C,1730.0,139.95,61,473,-23,-0.322,75.41,24.59,20180726,amc,,1842.92,107.0,25.37,1---1,Up
AMZN,180718,180720,C,1640.0,201.146,24,859,-16,-0.322,66.67,33.33,20180726,amc,,1842.92,112.0,25.37,1---1,Up
AMZN,180718,180720,C,1600.0,243.503,39,2121,-13,-0.317,28.21,69.23,20180726,amc,,1842.92,115.0,25.37,1---1,Down
AMZN,180718,200117,C,1860.0,305.21,14,97,-10,-0.305,71.43,28.57,20180726,amc,,1842.92,99.0,25.37,1---1,Up
AMZN,180718,180817,P,1850.0,66.589,98,1612,46,0.306,62.24,36.73,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180727,P,1850.0,52.306,89,117,59,0.309,52.81,47.19,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180921,P,1600.0,14.54,256,765,216,0.314,19.53,65.63,20180726,amc,,1842.92,115.0,25.37,1---1,Up
AMZN,180718,180720,P,1862.5,26.687,290,100,123,0.328,40.34,59.66,20180726,amc,,1842.92,99.0,25.37,1---1,Up
AMZN,180718,180727,P,1770.0,19.467,241,1241,170,0.331,78.01,13.69,20180726,amc,,1842.92,104.0,25.37,1---1,Down
AMZN,180718,180720,P,1830.0,8.135,2061,1018,416,0.338,50.95,45.32,20180726,amc,,1842.92,101.0,25.37,1---1,Down
AMZN,180718,180720,C,1825.0,25.609,719,1086,133,0.341,31.99,51.18,20180726,amc,,1842.92,101.0,25.37,1---1,Down
AMZN,180718,180921,C,1730.0,159.922,27,514,22,0.352,0.00,100.00,20180726,amc,,1842.92,107.0,25.37,1---1,Down
AMZN,180718,180720,C,1847.5,12.026,1375,908,303,0.364,51.35,43.20,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,180803,C,1845.0,57.398,105,50,64,0.367,62.86,37.14,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,180803,C,1840.0,59.509,120,123,62,0.369,63.33,34.17,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,180727,P,1840.0,49.356,197,150,75,0.37,51.78,46.19,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180720,C,1845.0,12.748,3557,1102,313,0.399,49.54,46.16,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,200117,C,1840.0,316.116,43,102,13,0.411,2.33,97.67,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,200117,P,1800.0,210.408,31,195,20,0.421,0.00,100.00,20180726,amc,,1842.92,102.0,25.37,1---1,Up
AMZN,180718,180727,C,1840.0,53.126,357,384,80,0.425,54.06,43.14,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,190621,C,1840.0,237.717,21,84,18,0.428,19.05,80.95,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,190118,P,1720.0,85.619,58,156,50,0.428,87.93,8.62,20180726,amc,,1842.92,107.0,25.37,1---1,Down
AMZN,180718,180720,C,1850.0,10.967,9152,3420,400,0.439,45.32,51.02,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,181019,C,1920.0,73.23,80,352,65,0.476,91.25,8.75,20180726,amc,,1842.92,96.0,25.37,1---1,Up
AMZN,180718,180720,P,1845.0,13.175,1263,307,375,0.494,47.11,48.38,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,180810,C,1850.0,59.592,117,106,83,0.495,28.21,69.23,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,190118,P,1880.0,155.241,35,34,32,0.497,85.71,14.29,20180726,amc,,1842.92,98.0,25.37,1---1,Down
AMZN,180718,180727,C,1850.0,48.556,627,724,109,0.529,34.77,62.84,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180720,C,1870.0,4.191,5467,2776,1299,0.544,41.43,53.80,20180726,amc,,1842.92,99.0,25.37,1---1,Down
AMZN,180718,180727,C,1820.0,62.406,165,446,92,0.574,36.36,62.42,20180726,amc,,1842.92,101.0,25.37,1---1,Down
AMZN,180718,200619,P,1900.0,289.1,21,31,21,0.607,4.76,95.24,20180726,amc,,1842.92,97.0,25.37,1---1,Up
AMZN,180718,180720,C,1805.0,41.876,358,644,145,0.607,29.33,61.45,20180726,amc,,1842.92,102.0,25.37,1---1,Down
AMZN,180718,180727,P,2120.0,280.063,22,2,22,0.616,0.00,100.00,20180726,amc,,1842.92,87.0,25.37,1---1,Up
AMZN,180718,180803,P,1840.0,55.35,192,60,116,0.642,40.63,54.17,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,190118,C,1770.0,201.085,32,122,32,0.643,100.00,0.00,20180726,amc,,1842.92,104.0,25.37,1---1,Up
AMZN,180718,180720,C,1860.0,6.625,9775,2175,999,0.662,52.85,41.90,20180726,amc,,1842.92,99.0,25.37,1---1,Up
AMZN,180718,181019,P,1700.0,43.004,170,791,155,0.667,94.71,3.53,20180726,amc,,1842.92,108.0,25.37,1---1,Down
AMZN,180718,190118,C,1900.0,134.571,94,1429,51,0.686,84.04,12.77,20180726,amc,,1842.92,97.0,25.37,1---1,Up
AMZN,180718,180921,C,1850.0,87.127,177,184,81,0.706,32.77,66.10,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180817,C,1840.0,69.009,223,930,106,0.731,27.35,70.40,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180720,P,1850.0,15.66,2219,720,473,0.741,50.11,48.36,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,190118,C,600.0,1253.943,6,266,6,0.752,100.00,0.00,20180726,amc,,1842.92,307.0,25.37,1---1,Up
AMZN,180718,180921,P,2220.0,377.74,21,4,20,0.755,0.00,100.00,20180726,amc,,1842.92,83.0,25.37,1---1,Up
AMZN,180718,180727,C,1780.0,86.447,124,211,88,0.761,12.90,87.10,20180726,amc,,1842.92,104.0,25.37,1---1,Down
AMZN,180718,180720,C,1800.0,45.647,2478,3853,174,0.794,51.65,45.88,20180726,amc,,1842.92,102.0,25.37,1---1,Up
AMZN,180718,180720,C,1842.5,14.045,2273,247,577,0.81,52.57,43.60,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,180720,P,1840.0,11.755,3943,790,779,0.916,53.34,44.56,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180727,C,1900.0,27.363,697,631,348,0.952,28.12,69.87,20180726,amc,,1842.92,97.0,25.37,1---1,Down
AMZN,180718,190118,P,1840.0,134.774,84,57,76,1.024,95.24,4.76,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180727,C,1785.0,85.061,151,312,128,1.089,1.32,94.04,20180726,amc,,1842.92,103.0,25.37,1---1,Down
AMZN,180718,190118,C,1790.0,191.46,90,329,62,1.187,100.00,0.00,20180726,amc,,1842.92,103.0,25.37,1---1,Up
AMZN,180718,190118,C,1800.0,185.508,167,6307,64,1.187,38.92,56.29,20180726,amc,,1842.92,102.0,25.37,1---1,Down
AMZN,180718,180727,C,1795.0,77.869,171,233,166,1.293,1.75,98.25,20180726,amc,,1842.92,103.0,25.37,1---1,Down
AMZN,180718,180727,P,1832.5,45.639,316,18,309,1.41,35.76,0.95,20180726,amc,,1842.92,101.0,25.37,1---1,Down
AMZN,180718,190118,C,1600.0,320.624,57,3464,45,1.443,94.74,3.51,20180726,amc,,1842.92,115.0,25.37,1---1,Up
AMZN,180718,180727,P,1835.0,46.532,346,149,317,1.475,37.28,3.76,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,190118,C,365.0,1484.365,10,3161,10,1.484,100.00,0.00,20180726,amc,,1842.92,505.0,25.37,1---1,Up
AMZN,180718,181116,P,1830.0,112.4,226,281,139,1.562,23.89,73.01,20180726,amc,,1842.92,101.0,25.37,1---1,Up
AMZN,180718,180720,C,1797.5,48.33,540,250,355,1.716,19.81,73.89,20180726,amc,,1842.92,103.0,25.37,1---1,Down
AMZN,180718,190118,C,1780.0,195.915,91,1250,91,1.783,0.00,1.10,20180726,amc,,1842.92,104.0,25.37,1---1,Down
AMZN,180718,180727,C,1790.0,82.399,340,569,259,2.134,1.47,98.24,20180726,amc,,1842.92,103.0,25.37,1---1,Down
AMZN,180718,200117,C,1920.0,276.472,119,276,100,2.765,64.71,35.29,20180726,amc,,1842.92,96.0,25.37,1---1,Up
AMZN,180718,180921,C,1800.0,113.569,486,1085,253,2.873,56.58,41.56,20180726,amc,,1842.92,102.0,25.37,1---1,Up
AMZN,180718,200619,C,1800.0,388.683,119,273,115,4.47,73.95,26.05,20180726,amc,,1842.92,102.0,25.37,1---1,Up
AMZN,180718,180817,P,1780.0,37.402,2522,198,2497,9.339,99.52,0.48,20180726,amc,,1842.92,104.0,25.37,1---1,Down
AMZN,180718,180817,C,1780.0,103.55,2508,224,2450,25.37,0.28,99.72,20180726,amc,,1842.92,104.0,25.37,1---1,Down
AON,180718,180817,C,140.0,7.929,1191,2400,-1035,-0.821,0.76,98.74,20180727,bmo,,147.34,105.0,0.821,1---1,Down
AON,180718,180817,C,145.0,4.079,1193,2597,-936,-0.382,65.47,20.20,20180727,bmo,,147.34,102.0,0.821,1---1,Up
ARWR,180718,181221,C,20.0,3.084,2751,5,2549,0.786,33.19,64.19,20180801,amc,,16.67,83.0,0.786,1---1,Down
AVGO,180718,180720,P,230.0,20.854,131,1607,-451,-0.941,16.79,31.30,20180820,amc,,208.78,91.0,1.238,1---1,Up
AVGO,180718,180817,P,260.0,50.75,148,168,-123,-0.624,25.68,3.38,20180820,amc,,208.78,80.0,1.238,1---1,Down
AVGO,180718,180817,P,250.0,40.4,2,166,-85,-0.343,0.00,100.00,20180820,amc,,208.78,84.0,1.238,1---1,Up
AVGO,180718,180720,C,207.5,3.113,1565,901,1051,0.327,20.96,77.83,20180820,amc,,208.78,101.0,1.238,1---1,Down
AVGO,180718,200117,C,250.0,14.959,425,1264,232,0.347,96.71,1.18,20180820,amc,,208.78,84.0,1.238,1---1,Up
AVGO,180718,180921,C,210.0,10.665,598,3547,325,0.347,80.43,16.56,20180820,amc,,208.78,99.0,1.238,1---1,Up
AVGO,180718,200117,C,240.0,17.759,272,470,223,0.396,85.66,14.34,20180820,amc,,208.78,87.0,1.238,1---1,Up
AVGO,180718,200117,C,230.0,20.894,298,163,190,0.397,90.60,8.39,20180820,amc,,208.78,91.0,1.238,1---1,Up
AVGO,180718,180921,P,210.0,11.241,752,1674,744,0.836,0.93,96.28,20180820,amc,,208.78,99.0,1.238,1---1,Up
AVGO,180718,200117,C,220.0,24.562,594,1363,504,1.238,95.96,4.04,20180820,amc,,208.78,95.0,1.238,1---1,Up
BA,180718,180727,C,352.5,13.303,2486,2574,-1317,-1.752,3.42,96.54,20180725,bmo,20180809.0,360.23,102.0,1.752,1---1,Down
BA,180718,180720,C,350.0,10.195,686,3744,-353,-0.36,52.19,46.50,20180725,bmo,20180809.0,360.23,103.0,1.752,1---1,Up
BA,180718,180720,C,340.0,20.074,432,1823,-173,-0.347,31.94,67.13,20180725,bmo,20180809.0,360.23,106.0,1.752,1---1,Down
BABA,180718,180720,P,205.0,13.745,12033,23030,-12690,-17.443,0.13,0.11,20180815,bmo,,190.79,93.0,18.91,1---1,Down
BABA,180718,180720,P,190.0,1.133,13161,30480,-6957,-0.788,78.47,18.71,20180815,bmo,,190.79,100.0,18.91,1---1,Down
BABA,180718,180720,C,190.0,2.383,13466,28423,-3009,-0.717,21.48,61.76,20180815,bmo,,190.79,100.0,18.91,1---1,Down
BABA,180718,180720,P,210.0,18.931,29,10380,-324,-0.613,34.48,48.28,20180815,bmo,,190.79,91.0,18.91,1---1,Up
BABA,180718,180727,P,210.0,19.115,3,252,-201,-0.384,100.00,0.00,20180815,bmo,,190.79,91.0,18.91,1---1,Down
BABA,180718,181019,C,210.0,5.685,843,11647,530,0.301,94.54,5.46,20180815,bmo,,190.79,91.0,18.91,1---1,Up
BABA,180718,190118,C,165.0,33.86,100,2207,99,0.335,100.00,0.00,20180815,bmo,,190.79,116.0,18.91,1---1,Up
BABA,180718,180817,C,195.0,5.845,3522,15424,594,0.347,12.58,63.60,20180815,bmo,,190.79,98.0,18.91,1---1,Down
BABA,180718,190118,C,175.0,27.158,180,6522,142,0.386,59.44,40.56,20180815,bmo,,190.79,109.0,18.91,1---1,Up
BABA,180718,180921,C,190.0,11.287,664,4154,344,0.388,72.74,19.43,20180815,bmo,,190.79,100.0,18.91,1---1,Up
BABA,180718,181019,P,205.0,19.788,315,364,225,0.445,46.67,53.33,20180815,bmo,,190.79,93.0,18.91,1---1,Up
BABA,180718,180810,C,185.0,9.291,714,200,504,0.468,1.40,98.60,20180815,bmo,,190.79,103.0,18.91,1---1,Down
BABA,180718,180803,C,182.5,10.155,501,1701,500,0.508,75.05,9.98,20180815,bmo,,190.79,105.0,18.91,1---1,Up
BABA,180718,181019,C,190.0,13.321,151,30709,441,0.587,51.66,17.22,20180815,bmo,,190.79,100.0,18.91,1---1,Up
BABA,180718,181019,C,195.0,10.725,1148,10324,586,0.629,86.76,11.93,20180815,bmo,,190.79,98.0,18.91,1---1,Up
BABA,180718,180817,C,160.0,32.249,252,717,200,0.645,99.60,0.40,20180815,bmo,,190.79,119.0,18.91,1---1,Up
BABA,180718,181019,C,205.0,7.243,3055,881,3016,2.185,99.28,0.65,20180815,bmo,,190.79,93.0,18.91,1---1,Up
BABA,180718,180817,C,205.0,2.665,14307,11218,9425,2.512,10.13,88.32,20180815,bmo,,190.79,93.0,18.91,1---1,Down
BABA,180718,180817,C,190.0,8.143,11503,40518,8467,6.895,13.52,86.08,20180815,bmo,,190.79,100.0,18.91,1---1,Down
BABA,180718,180817,P,190.0,6.478,11155,37774,11619,7.527,93.78,2.61,20180815,bmo,,190.79,100.0,18.91,1---1,Down
BABA,180718,180817,P,205.0,16.282,12031,1252,11614,18.91,99.84,0.12,20180815,bmo,,190.79,93.0,18.91,1---1,Down
BAC,180718,190118,C,25.0,5.672,2158,166861,-1984,-1.125,93.14,6.77,20181015,bmo,,30.13,121.0,1.125,1---1,Up
BAC,180718,180720,C,29.0,1.133,14114,114927,-3413,-0.387,56.03,43.57,20181015,bmo,,30.13,104.0,1.125,1---1,Up
BAC,180718,190118,P,30.0,1.723,1409,114529,-2150,-0.37,30.52,69.48,20181015,bmo,,30.13,100.0,1.125,1---1,Up
BAC,180718,190118,C,27.0,3.919,142,59278,-813,-0.319,46.48,53.52,20181015,bmo,,30.13,112.0,1.125,1---1,Down
BAC,180718,180810,C,29.0,1.404,4636,5959,-2253,-0.316,83.11,1.90,20181015,bmo,,30.13,104.0,1.125,1---1,Up
BAC,180718,180720,P,30.0,0.145,40656,98380,27017,0.391,22.45,77.52,20181015,bmo,,30.13,100.0,1.125,1---1,Up
BAC,180718,180817,C,30.0,0.722,20214,105261,10540,0.761,21.93,77.74,20181015,bmo,,30.13,100.0,1.125,1---1,Down
BG,180718,180720,P,75.0,6.363,273,10394,-526,-0.335,57.14,41.76,20180801,bmo,20180821.0,68.41,91.0,0.335,1---1,Down
BIDU,180718,180817,C,240.0,30.972,479,2818,-378,-1.171,2.71,84.55,20180731,amc,,269.42,112.0,1.171,1---1,Down
BIIB,180718,181116,C,350.0,28.695,119,1,111,0.319,91.60,8.40,20180724,bmo,,358.51,102.0,3.86,1---1,Up
BIIB,180718,180817,C,355.0,18.386,532,358,285,0.524,91.17,1.32,20180724,bmo,,358.51,101.0,3.86,1---1,Up
BIIB,180718,180727,C,355.0,14.114,409,382,399,0.563,66.01,0.98,20180724,bmo,,358.51,101.0,3.86,1---1,Up
BIIB,180718,180727,C,390.0,4.178,6921,786,5151,2.152,10.26,88.99,20180724,bmo,,358.51,92.0,3.86,1---1,Down
BIIB,180718,180727,C,360.0,13.274,3051,307,2908,3.86,87.05,10.16,20180724,bmo,,358.51,100.0,3.86,1---1,Up
BKNG,180718,180720,P,2090.0,68.4,1,110,-62,-0.424,100.00,0.00,20180808,amc,,2023.91,97.0,0.777,1---1,Down
BKNG,180718,180810,P,2040.0,69.244,81,89,67,0.464,29.63,51.85,20180808,amc,,2023.91,99.0,0.777,1---1,Up
BKNG,180718,180817,P,2040.0,72.786,87,205,64,0.466,27.59,55.17,20180808,amc,,2023.91,99.0,0.777,1---1,Up
BKNG,180718,180817,P,2030.0,66.95,134,97,108,0.723,10.45,60.45,20180808,amc,,2023.91,100.0,0.777,1---1,Up
BKNG,180718,180810,P,2030.0,63.699,136,83,122,0.777,60.29,23.53,20180808,amc,,2023.91,100.0,0.777,1---1,Down
BKS,180718,190118,C,5.0,1.045,3152,15500,3140,0.328,95.18,4.76,20180906,bmo,,5.5,110.0,0.328,1---1,Up
BMY,180718,180921,C,55.0,3.198,2122,7730,-1832,-0.586,0.42,98.30,20180726,bmo,,56.88,103.0,0.586,1---1,Down
BPY,180718,180921,P,25.0,7.183,4416,40798,1884,1.353,43.70,5.34,,,,19.31,77.0,1.353,1---1,Down
BRKB,180718,190118,C,125.0,75.174,4817,14073,-3723,-27.987,83.70,15.82,,,,,,28.839,1---1,Up
BRKB,180718,190118,C,175.0,28.255,4828,8975,-3728,-10.533,93.12,5.01,,,,,,28.839,1---1,Up
BRKB,180718,190118,C,200.0,10.785,1208,9785,-757,-0.816,80.22,19.12,,,,,,28.839,1---1,Up
BRKB,180718,190118,C,120.0,80.437,146,2201,-78,-0.627,34.25,38.36,,,,,,28.839,1---1,Down
BRKB,180718,180720,C,190.0,8.017,957,2454,-740,-0.593,88.92,10.45,,,,,,28.839,1---1,Up
BRKB,180718,180831,C,155.0,45.592,135,270,-66,-0.301,56.30,22.22,,,,,,28.839,1---1,Up
BRKB,180718,180921,C,200.0,5.466,2282,5120,601,0.328,64.77,29.67,,,,,,28.839,1---1,Up
BRKB,180718,181221,P,180.0,2.388,1637,395,1571,0.375,24.13,75.20,,,,,,28.839,1---1,Up
BRKB,180718,190118,C,85.0,115.542,97,4473,97,1.121,73.20,26.80,,,,,,28.839,1---1,Up
BRKB,180718,180817,C,200.0,3.362,13999,1419,13124,4.413,26.09,73.39,,,,,,28.839,1---1,Down
BRKB,180718,180817,P,200.0,3.629,19313,16,13212,4.794,67.57,31.98,,,,,,28.839,1---1,Down
