Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
AA,180718,180817,C,49.0,1.748,2788,1190,2692,0.471,41.61,0.79,20180718,amc,,47.96,98.0,0.471,1---1,Up
AABA,180718,180720,P,80.0,4.88,1,3990,-747,-0.365,100.00,0.00,20180815,amc,,74.66,93.0,53.313,1---1,Down
AABA,180718,180817,P,100.0,25.356,27509,129556,21026,53.313,100.00,0.00,20180815,amc,,74.66,75.0,53.313,1---1,Down
AAL,180718,180817,P,36.0,0.64,21208,44370,-20750,-1.328,99.26,0.39,20180726,bmo,,38.37,107.0,3.812,1---1,Down
AAL,180718,180720,C,37.5,1.251,5991,6258,-3476,-0.435,13.04,83.78,20180726,bmo,,38.37,102.0,3.812,1---1,Down
AAL,180718,200117,C,55.0,2.468,1553,4945,1433,0.354,62.65,37.35,20180726,bmo,,38.37,70.0,3.812,1---1,Up
AAL,180718,180817,C,40.0,1.105,4345,9027,3361,0.371,87.66,9.94,20180726,bmo,,38.37,96.0,3.812,1---1,Up
AAL,180718,181116,C,42.0,1.853,2229,305,2066,0.383,96.41,3.14,20180726,bmo,,38.37,91.0,3.812,1---1,Up
AAL,180718,180817,P,39.0,1.823,22353,1933,20912,3.812,3.01,96.81,20180726,bmo,,38.37,98.0,3.812,1---1,Up
AAOI,180718,180817,P,50.0,8.235,1792,2502,-841,-0.693,66.80,33.20,20180730,amc,,43.0,86.0,0.693,1---1,Down
AAOI,180718,180921,C,30.0,14.422,401,1248,-319,-0.46,62.09,36.91,20180730,amc,,43.0,143.0,0.693,1---1,Up
AAPL,180718,180720,P,195.0,4.618,836,8311,-958,-0.442,54.78,44.98,20180731,amc,,190.4,98.0,4.748,1---1,Down
AAPL,180718,190118,C,190.0,12.033,339,29413,257,0.309,30.97,67.26,20180731,amc,,190.4,100.0,4.748,1---1,Down
AAPL,180718,180727,C,190.0,2.367,3828,4882,1352,0.32,40.94,34.56,20180731,amc,,190.4,100.0,4.748,1---1,Up
AAPL,180718,180921,C,195.0,4.545,1198,22692,737,0.335,51.67,22.37,20180731,amc,,190.4,98.0,4.748,1---1,Up
AAPL,180718,180720,C,190.0,1.35,25166,43066,2927,0.395,45.42,45.53,20180731,amc,,190.4,100.0,4.748,1---1,Down
AAPL,180718,181221,C,195.0,8.61,558,4367,511,0.44,89.78,9.50,20180731,amc,,190.4,98.0,4.748,1---1,Up
AAPL,180718,180817,P,190.0,5.06,1640,11894,933,0.472,33.17,61.52,20180731,amc,,190.4,100.0,4.748,1---1,Up
AAPL,180718,180803,P,180.0,1.218,5195,1272,4388,0.535,54.59,35.28,20180731,amc,,190.4,106.0,4.748,1---1,Down
AAPL,180718,200117,C,175.0,31.131,442,15801,190,0.591,39.37,40.05,20180731,amc,,190.4,109.0,4.748,1---1,Down
AAPL,180718,181019,C,200.0,3.938,1679,11317,1571,0.619,6.55,1.91,20180731,amc,,190.4,95.0,4.748,1---1,Up
AAPL,180718,181019,P,200.0,13.316,1528,1205,1326,1.766,65.45,1.83,20180731,amc,,190.4,95.0,4.748,1---1,Down
AAPL,180718,180921,P,190.0,6.519,5377,10197,5024,3.275,93.44,6.17,20180731,amc,,190.4,100.0,4.748,1---1,Down
AAPL,180718,181019,P,190.0,7.422,5914,3457,5887,4.369,6.88,8.54,20180731,amc,,190.4,100.0,4.748,1---1,Up
AAPL,180718,180921,C,190.0,6.926,9448,26220,6361,4.406,23.83,69.06,20180731,amc,,190.4,100.0,4.748,1---1,Down
AAPL,180718,181019,C,190.0,8.289,6907,11935,5728,4.748,9.34,90.62,20180731,amc,,190.4,100.0,4.748,1---1,Down
ABBV,180718,180720,P,100.0,5.141,206,3804,-1470,-0.756,47.57,52.43,20180727,bmo,,94.4,94.0,0.756,1---1,Up
ADBE,180718,200117,C,270.0,36.55,93,116,88,0.322,98.92,1.08,20180913,amc,,259.78,96.0,1.387,1---1,Up
ADBE,180718,180817,C,260.0,6.83,1294,1439,612,0.418,39.18,39.64,20180913,amc,,259.78,100.0,1.387,1---1,Down
ADBE,180718,180817,C,265.0,4.545,1954,2004,1519,0.69,86.69,11.77,20180913,amc,,259.78,98.0,1.387,1---1,Up
ADBE,180718,180817,P,265.0,9.359,1547,169,1482,1.387,0.13,99.81,20180913,amc,,259.78,98.0,1.387,1---1,Up
AEL,180718,190215,C,35.0,2.76,1506,2,1501,0.414,0.20,99.60,20180806,amc,,35.45,101.0,0.414,1---1,Down
ALGN,180718,180720,C,335.0,35.45,300,396,-255,-0.904,100.00,0.00,20180725,amc,,372.31,111.0,0.904,1---1,Up
ALGN,180718,180817,P,370.0,17.532,303,60,223,0.391,26.73,73.27,20180725,amc,,372.31,101.0,0.904,1---1,Up
ALNY,180718,180817,C,115.0,3.196,1019,1112,939,0.3,32.19,66.24,20180807,amc,,105.37,92.0,0.3,1---1,Down
AMAT,180718,181019,C,50.0,2.45,1654,3226,1259,0.308,91.66,7.13,20180816,amc,20180822.0,48.28,97.0,0.308,1---1,Up
AMD,180718,180720,C,14.0,2.749,254,49459,-2697,-0.741,52.76,40.94,20180725,amc,,16.85,120.0,0.741,1---1,Up
AMD,180718,180817,P,17.0,1.257,3154,14439,2691,0.338,92.04,7.96,20180725,amc,,16.85,99.0,0.741,1---1,Down
AMZN,180718,190118,C,2000.0,93.96,133,6313,-732,-6.878,21.80,72.93,20180726,amc,,1842.92,92.0,25.37,1---1,Down
AMZN,180718,190118,C,960.0,898.888,54,409,-44,-3.955,50.00,9.26,20180726,amc,,1842.92,192.0,25.37,1---1,Up
AMZN,180718,180720,C,1470.0,372.75,1,351,-100,-3.728,0.00,100.00,20180726,amc,,1842.92,125.0,25.37,1---1,Down
AMZN,180718,180817,C,1850.0,64.282,1643,2955,-469,-3.015,35.00,63.79,20180726,amc,,1842.92,100.0,25.37,1---1,Down
AMZN,180718,180720,C,960.0,883.698,20,30,-14,-1.237,45.00,25.00,20180726,amc,,1842.92,192.0,25.37,1---1,Up
AMZN,180718,190118,C,1720.0,230.09,53,316,-51,-1.173,96.23,3.77,20180726,amc,,1842.92,107.0,25.37,1---1,Up
AMZN,180718,180720,C,1700.0,143.847,108,9611,-80,-1.151,29.63,61.11,20180726,amc,,1842.92,108.0,25.37,1---1,Down
AMZN,180718,180720,C,1810.0,37.554,411,1703,-258,-0.969,44.28,49.64,20180726,amc,,1842.92,102.0,25.37,1---1,Down
AMZN,180718,180720,C,1705.0,137.12,58,241,-57,-0.782,37.93,0.00,20180726,amc,,1842.92,108.0,25.37,1---1,Up
AMZN,180718,180720,C,1750.0,94.034,148,2649,-69,-0.649,47.97,43.92,20180726,amc,,1842.92,105.0,25.37,1---1,Up
AMZN,180718,180727,C,1815.0,66.597,191,271,-95,-0.633,86.39,13.61,20180726,amc,,1842.92,102.0,25.37,1---1,Up
AMZN,180718,180720,C,1780.0,66.838,232,2346,-93,-0.622,37.93,56.03,20180726,amc,,1842.92,104.0,25.37,1---1,Down
AMZN,180718,180921,C,1900.0,63.36,464,1350,-90,-0.57,11.85,87.72,20180726,amc,,1842.92,97.0,25.37,1---1,Down
AMZN,180718,190118,C,1840.0,163.714,86,479,-34,-0.557,76.74,23.26,20180726,amc,,1842.92,100.0,25.37,1---1,Up
AMZN,180718,180720,C,1760.0,83.042,181,893,-67,-0.556,29.28,69.61,20180726,amc,,1842.92,105.0,25.37,1---1,Down
AMZN,180718,180727,P,1740.0,12.274,819,1879,-448,-0.55,84.62,12.33,20180726,amc,,1842.92,106.0,25.37,1---1,Down
AMZN,180718,190118,C,1980.0,101.666,77,525,-51,-0.518,11.69,88.31,20180726,amc,,1842.92,93.0,25.37,1---1,Down
AMZN,180718,180817,C,1790.0,97.907,68,231,-50,-0.49,52.94,45.59,20180726,amc,,1842.92,103.0,25.37,1---1,Up
AMZN,180718,180720,C,1830.0,21.961,1848,2903,-221,-0.485,70.29,25.87,20180726,amc,,1842.92,101.0,25.37,1---1,Up
AMZN,180718,190621,C,1700.0,313.111,18,358,-15,-0.47,72.22,27.78,20180726,amc,,1842.92,108.0,25.37,1---1,Up
AMZN,180718,180720,C,1690.0,152.508,764,1144,-30,-0.458,98.69,1.18,20180726,amc,,1842.92,109.0,25.37,1---1,Up
AMZN,180718,180720,C,1770.0,75.078,121,2216,-60,-0.45,53.72,42.98,20180726,amc,,1842.92,104.0,25.37,1---1,Up
AMZN,180718,180817,C,1720.0,149.258,44,755,-28,-0.418,77.27,22.73,20180726,amc,,1842.92,107.0,25.37,1---1,Up
AMZN,180718,200117,C,1120.0,808.0,5,61,-5,-0.404,100.00,0.00,20180726,amc,,1842.92,165.0,25.37,1---1,Up
AMZN,180718,180720,C,1650.0,194.036,34,995,-20,-0.388,38.24,23.53,20180726,amc,,1842.92,112.0,25.37,1---1,Up
AMZN,180718,190621,C,1200.0,689.5,5,271,-5,-0.345,0.00,100.00,20180726,amc,,1842.92,154.0,25.37,1---1,Down
AMZN,180718,180720,C,1630.0,214.065,22,474,-16,-0.343,13.64,31.82,20180726,amc,,1842.92,113.0,25.37,1---1,Down
