Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CRZO,"Carrizo Oil & Gas, Inc.",26.59,2182173682,n/a,1997,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crzo
CVE,Cenovus Energy Inc,11.19,13749124253,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cve
CDEV,"Centennial Resource Development, Inc.",19.78,5460458453,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cdev
CGG,CGG,2.83,1967744042,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cgg
CHK,Chesapeake Energy Corporation,4.54,4139640554,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/chk
CHKR,Chesapeake Granite Wash Trust,1.65,77137500,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/chkr
CVX,Chevron Corporation,128.23,2.45042E+11,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvx
SNP,China Petroleum & Chemical Corporation,103.93,1.25829E+11,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/snp
CYD,China Yuchai International Limited,20.14,822885980.7,n/a,1994,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cyd
XEC,Cimarex Energy Co,99.35,9480974971,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/xec
CKX,"CKX Lands, Inc.",10.5,20396197.5,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ckx
CLD,Cloud Peak Energy Inc,3.19,241713295.7,n/a,2009,Energy,Coal Mining,https://www.nasdaq.com/symbol/cld
CEO,CNOOC Limited,183.03,1845100172,n/a,2001,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ceo
CEIX,CNX Resources Corporation,43.59,1221803726,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ceix
CNX,CNX Resources Corporation,16.15,3519261988,n/a,1999,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cnx
CRK,"Comstock Resources, Inc.",10.74,173692703.7,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crk
CXO,Concho Resources Inc.,147.44,21979142506,n/a,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,70.13,82056743167,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cop
CCR,CONSOL Coal Resources LP,15.4,423814006,n/a,2015,Energy,Coal Mining,https://www.nasdaq.com/symbol/ccr
MCF,Contango Oil & Gas Company,4.72,121125763.4,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcf
CLR,"Continental Resources, Inc.",67.39,25340768648,n/a,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/clr
CLB,Core Laboratories N.V.,127.03,5615084733,n/a,1995,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/clb
CPG,Crescent Point Energy Corporation,8.46,4623150032,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cpg
CRT,Cross Timbers Royalty Trust,14.01,84060000,n/a,1992,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,17.43,597467195.9,n/a,2012,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/capl
CCLP,CSI Compressco LP,6.27,254236681.1,n/a,2011,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/cclp
CMI,Cummins Inc.,149.06,24561048474,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cmi
CVI,CVR Energy Inc.,45.46,3947339533,n/a,2007,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvi
CVRR,"CVR Refining, LP",22.65,3343140000,n/a,2013,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvrr
CELP,"Cypress Energy Partners, L.P.",6.92,82578000.04,n/a,2014,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/celp
DWSN,Dawson Geophysical Company,7.69,176054398.6,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dwsn
DKL,"Delek Logistics Partners, L.P.",29.35,715671955.6,n/a,2012,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/dkl
DK,"Delek US Holdings, Inc.",50.64,4254603713,n/a,2017,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/dk
DNR,Denbury Resources Inc.,4.29,1890321349,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dnr
DVN,Devon Energy Corporation,41.8,21878120000,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dvn
DO,"Diamond Offshore Drilling, Inc.",19.74,2712834089,n/a,1995,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/do
FANG,"Diamondback Energy, Inc.",132.23,13039386480,n/a,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/fang
DMLP,"Dorchester Minerals, L.P.",19.7999,639136297.2,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dmlp
DRQ,"Dril-Quip, Inc.",47.95,1828957761,n/a,1997,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/drq
ESTE,"Earthstone Energy, Inc.",9.59,612649784.9,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/este
ECT,ECA Marcellus Trust I,2,35210000,n/a,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ect
ECR,Eclipse Resources Corporation,1.63,492411402.6,n/a,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ecr
EC,Ecopetrol S.A.,21.76,44734963812,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ec
ESES,"Eco-Stim Energy Solutions, Inc.",0.9,67386129.3,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/eses
EMR,Emerson Electric Company,73.26,46160401605,n/a,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/emr
EEQ,Enbridge Energy Management LLC,9.44,934562879.2,n/a,2002,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eeq
EEP,"Enbridge Energy, L.P.",9.89,4396284108,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/eep
ENB,Enbridge Inc,31.57,53814302377,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,25.38,0,n/a,2018,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enba
ECA,Encana Corporation,13.32,12827894052,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eca
NDRO,Enduro Royalty Trust,3.3,108900000,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ndro
EGN,Energen Corporation,69.21,6743101509,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egn
ETP,"Energy Transfer Partners, L.P.",19.27,22452114933,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/etp
EGC,"Energy XXI Gulf Coast, Inc.",8.01,266579312.1,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egc
ERF,Enerplus Corporation,12.58,3079877969,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/erf
E,ENI S.p.A.,37.69,68486222544,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/e
ESV,ENSCO plc,7.17,3137646105,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/esv
ENSV,ENSERVCO Corporation,1.43,73419511.88,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
